0,1,2,3,4,5
-11820,3220,-3750,11840,11300,-4790
-12000,3200,-3970,11840,11300,-4370
-12010,2900,-3970,11840,11040,-3800
-12250,4040,-4010,11500,10820,-4100
-12870,6380,-4790,10660,10720,-4100
-12970,6360,-4810,10500,11140,-4220
-11310,6160,-5290,10280,10880,-4720
-11410,8560,-5970,9860,10120,-5160
-11630,10200,-6810,9860,9540,-5160
-11750,12200,-7670,8960,9540,-5280
-11910,11740,-7710,8960,9080,-4160
-11920,11580,-7970,8880,8880,-3450
-11930,11220,-8290,9930,8520,-3450
-12330,11200,-8610,9910,9460,-3630
-12510,11180,-7910,9730,9320,-3810
-12520,11040,-6560,9490,8360,-3810
-12680,10780,-6560,9150,9460,-4150
-12860,10760,-5380,8930,9080,-4530
-12870,10300,-5860,8850,8580,-3000
-13170,9940,-6120,10290,8320,-3260
-13990,9040,-7100,9170,7380,1500
-14550,8700,-7260,9170,8780,1160
-14710,8540,-7500,9730,8780,1160
-14950,7220,-8700,8210,7980,6240
-15310,7060,-9200,9770,7920,5760
-15590,7000,-9300,10630,7560,5700
-16190,8820,-9940,10630,7560,5120
-17150,7820,-6100,10470,7340,3620
-17370,7800,-6120,10070,6720,4900
-18470,7280,-6640,10070,8860,4900
-18890,7740,-6640,10030,8860,4900
-19550,7460,-6740,9630,10300,4900
-19630,6880,-6760,10770,10300,4440
-19870,6860,-6820,11270,10300,4260
-19990,6180,-7220,11210,11740,4080
-18270,6160,-7520,10530,11080,4020
-18330,6140,-7520,10490,11080,4140
-18710,6120,-7520,10370,11680,4060
-19110,6100,-7740,11710,11620,3420
-19120,5940,-7760,12040,11480,3420
-12200,4340,-8120,10200,9500,2280
-12480,4140,-8460,10200,9440,3160
-12640,3880,-8780,10040,10500,3000
-12780,4440,-8780,10040,10220,2860
-13620,6680,-8780,9980,9720,2020
-13900,7460,-9000,9700,9720,2020
-12340,6920,-9580,9260,9720,2020
-12840,6900,-7620,8680,9480,1400
-12850,6840,-7680,9010,9480,1200
-12860,6020,-7720,10500,9360,700
-12900,6220,-7820,10460,9360,680
-13200,5720,-6600,10460,8940,680
-14380,8820,-6920,9360,8820,300
-14560,8800,-6920,9180,8780,720
-14920,8440,-6940,8900,10000,520
-15400,10120,-7600,8500,9980,400
-15640,10780,-7660,8500,9980,40
-15980,9920,-8300,8460,9320,2580
-14500,9640,-8920,8460,9060,2260
-15200,9460,-8920,10200,8380,2080
-14420,9100,-8940,10180,8380,1700
-14430,8780,-7490,9680,8320,1140
-14530,8500,-6410,9420,8320,700
-13070,8180,-6810,9080,7920,700
-13330,7760,-6850,9080,7740,1600
-14210,7420,-3710,8460,7220,820
-14890,7400,-3710,8460,7160,1580
-14170,7380,-3910,8340,6940,1420
-13510,7100,-3950,8340,6720,1300
-13830,7080,-2650,7920,6580,900
-14030,6940,-2650,7880,7020,840
-14350,8860,-2650,7320,6540,280
-14550,8460,-2650,7080,7380,280
-13450,8200,-3030,6860,7260,160
-12570,8180,-3490,6520,7200,160
-13090,9540,-3510,6420,6780,-140
-13390,9060,-1590,5920,6300,-300
-11830,8580,-1590,5680,6120,-960
-11530,8300,-1590,5660,6120,-960
-12530,7020,-2430,4440,4840,4660
-12150,7000,-2430,4280,4640,4660
-12160,6940,-2430,3840,4640,5170
-12380,6500,-2450,3260,4180,6890
-11900,6280,-2670,3260,4180,6850
-12720,9100,-3710,2360,4180,6790
-12940,8420,-3790,1620,4180,8510
-11860,7700,-3870,1620,3940,8470
-11870,7500,-4310,1500,3840,9340
-12050,7180,-4890,2920,3800,9040
-12230,7800,-4890,2920,3480,8920
-12490,8260,-4890,2920,3480,8720
-13150,8240,-5610,2780,2680,11060
-11070,8100,-5830,1880,2100,10820
-11690,7700,-5830,3120,1880,10820
-10390,7100,-5910,3120,1760,10320
-11250,10060,-6570,3080,1100,9580
-11010,10040,-6590,3040,1020,9500
-11330,11020,-6650,3040,740,9180
-11370,10760,-6650,3380,700,9180
-11750,10740,-6850,3360,1480,9020
-11950,10720,-7150,3880,1480,9020
-12150,10700,-7430,4580,1480,8820
-12450,14080,-7690,4300,260,7500
-11790,13840,-7930,4300,260,7320
-12050,13400,-8130,5440,260,7080
-9290,12620,-8710,4720,260,6400
-9470,12520,-8730,4700,820,6160
-10410,11820,-8750,3760,60,9520
-10870,11440,-8810,3420,-380,11200
-8410,10680,-9470,3420,-1260,11040
-8470,10580,-8050,3420,-2100,10620
-8480,11350,-8050,3400,-2180,9960
-8920,11150,-8290,3180,-1080,9960
-8930,10950,-8730,3180,-1180,10710
-9050,10930,-8510,3140,-1180,10670
-9450,10390,-9590,6460,-2020,10210
-8610,10370,-9630,6340,-2360,9890
-8970,9870,-9850,8020,-2960,9890
-9110,10250,-9950,7880,-2960,9890
-9550,9990,-9130,7880,-3080,9890
-9770,9170,-9570,9520,-3080,9730
-9780,9070,-9160,9380,-3240,9730
-7940,8630,-9640,9180,-3240,9010
-8100,8210,-8200,8760,-3240,8570
-8340,7490,-8760,11640,-3900,7870
-8520,7090,-9140,11640,-3920,8850
-9200,9170,-9180,10820,-4260,8650
-9780,8870,-9180,10320,-2880,8650
-10040,8650,-9460,10140,-1940,8650
-10050,8490,-9480,11050,-2080,8070
